  400  1.0000E-03
   i   x             den           ener          pres          vel           cs
  176  8.775000E-01  7.035408E-01  1.164014E+06  3.275725E+05  4.267003E+02  8.073709E+02
  177  8.825000E-01  7.154336E-01  1.147479E+06  3.283780E+05  4.293596E+02  8.016160E+02
  178  8.875000E-01  7.275082E-01  1.131267E+06  3.292023E+05  4.320258E+02  7.959330E+02
  179  8.925000E-01  7.397683E-01  1.115369E+06  3.300459E+05  4.346992E+02  7.903207E+02
  180  8.975000E-01  7.522178E-01  1.099779E+06  3.309093E+05  4.373799E+02  7.847778E+02
  181  9.025000E-01  7.648606E-01  1.084488E+06  3.317928E+05  4.400680E+02  7.793030E+02
  182  9.075000E-01  7.777008E-01  1.069488E+06  3.326968E+05  4.427637E+02  7.738951E+02
  183  9.125000E-01  7.907426E-01  1.054774E+06  3.336219E+05  4.454670E+02  7.685528E+02
  184  9.175000E-01  8.039904E-01  1.040337E+06  3.345684E+05  4.481782E+02  7.632750E+02
  185  9.225000E-01  8.174487E-01  1.026171E+06  3.355369E+05  4.508973E+02  7.580606E+02
  186  9.275000E-01  8.311220E-01  1.012270E+06  3.365278E+05  4.536246E+02  7.529084E+02
  187  9.325000E-01  8.450150E-01  9.986261E+05  3.375416E+05  4.563601E+02  7.478172E+02
  188  9.375000E-01  8.591328E-01  9.852342E+05  3.385788E+05  4.591039E+02  7.427861E+02
  189  9.425000E-01  8.734802E-01  9.720882E+05  3.396399E+05  4.618563E+02  7.378139E+02
  190  9.475000E-01  8.880626E-01  9.591820E+05  3.407255E+05  4.646174E+02  7.328997E+02
  191  9.525000E-01  9.028852E-01  9.465100E+05  3.418360E+05  4.673873E+02  7.280423E+02
  192  9.575000E-01  9.179536E-01  9.340668E+05  3.429720E+05  4.701661E+02  7.232409E+02
  193  9.625000E-01  9.332735E-01  9.218469E+05  3.441341E+05  4.729540E+02  7.184944E+02
  194  9.675000E-01  9.488508E-01  9.098451E+05  3.453229E+05  4.757512E+02  7.138020E+02
  195  9.725000E-01  9.646915E-01  8.980565E+05  3.465390E+05  4.785578E+02  7.091626E+02
  196  9.775000E-01  9.808018E-01  8.864759E+05  3.477829E+05  4.813740E+02  7.045754E+02
  197  9.825000E-01  9.971883E-01  8.750987E+05  3.490553E+05  4.841998E+02  7.000395E+02
  198  9.875000E-01  1.013858E+00  8.639202E+05  3.503568E+05  4.870355E+02  6.955540E+02
  199  9.925000E-01  1.030816E+00  8.529359E+05  3.516881E+05  4.898811E+02  6.911180E+02
  200  9.975000E-01  1.048072E+00  8.421413E+05  3.530499E+05  4.927370E+02  6.867307E+02
  201  1.002500E+00  1.065632E+00  8.315322E+05  3.544428E+05  4.956031E+02  6.823914E+02
  202  1.007500E+00  1.083503E+00  8.211044E+05  3.558676E+05  4.984797E+02  6.780992E+02
  203  1.012500E+00  1.101694E+00  8.108538E+05  3.573250E+05  5.013668E+02  6.738532E+02
  204  1.017500E+00  1.120212E+00  8.007766E+05  3.588157E+05  5.042648E+02  6.696528E+02
  205  1.022500E+00  1.139065E+00  7.908687E+05  3.603405E+05  5.071736E+02  6.654972E+02
  206  1.027500E+00  1.158263E+00  7.811266E+05  3.619001E+05  5.100935E+02  6.613856E+02
  207  1.032500E+00  1.177814E+00  7.715465E+05  3.634955E+05  5.130246E+02  6.573173E+02
  208  1.037500E+00  1.197728E+00  7.621249E+05  3.651273E+05  5.159671E+02  6.532916E+02
  209  1.042500E+00  1.218013E+00  7.528584E+05  3.667966E+05  5.189211E+02  6.493078E+02
  210  1.047500E+00  1.238680E+00  7.437434E+05  3.685040E+05  5.218868E+02  6.453653E+02
  211  1.052500E+00  1.259738E+00  7.347769E+05  3.702506E+05  5.248643E+02  6.414632E+02
  212  1.057500E+00  1.281199E+00  7.259555E+05  3.720373E+05  5.278538E+02  6.376010E+02
  213  1.062500E+00  1.303072E+00  7.172762E+05  3.738650E+05  5.308554E+02  6.337781E+02
  214  1.067500E+00  1.325369E+00  7.087358E+05  3.757346E+05  5.338693E+02  6.299937E+02
  215  1.072500E+00  1.348102E+00  7.003315E+05  3.776472E+05  5.368957E+02  6.262473E+02
  216  1.077500E+00  1.371282E+00  6.920603E+05  3.796039E+05  5.399346E+02  6.225382E+02
  217  1.082500E+00  1.394922E+00  6.839194E+05  3.816056E+05  5.429863E+02  6.188658E+02
  218  1.087500E+00  1.419034E+00  6.759061E+05  3.836534E+05  5.460508E+02  6.152296E+02
  219  1.092500E+00  1.443632E+00  6.680176E+05  3.857485E+05  5.491284E+02  6.116289E+02
  220  1.097500E+00  1.468729E+00  6.602514E+05  3.878920E+05  5.522191E+02  6.080631E+02
  221  1.102500E+00  1.494339E+00  6.526049E+05  3.900851E+05  5.553232E+02  6.045318E+02
  222  1.107500E+00  1.520477E+00  6.450755E+05  3.923291E+05  5.584408E+02  6.010344E+02
  223  1.112500E+00  1.547159E+00  6.376609E+05  3.946250E+05  5.615719E+02  5.975702E+02
  224  1.117500E+00  1.574399E+00  6.303587E+05  3.969744E+05  5.647168E+02  5.941388E+02
  225  1.122500E+00  1.602214E+00  6.231665E+05  3.993783E+05  5.678756E+02  5.907396E+02
  226  1.127500E+00  1.630620E+00  6.160821E+05  4.018383E+05  5.710485E+02  5.873721E+02
  227  1.132500E+00  1.659636E+00  6.091032E+05  4.043558E+05  5.742355E+02  5.840358E+02
  228  1.137500E+00  1.689278E+00  6.022277E+05  4.069321E+05  5.774368E+02  5.807302E+02
